Grain size	ln(Grain size)	Phi	EM 1	EM 2	EM 3
0.72444	-0.32236	10.43085	0.01485	0.01985	0.01496
0.83176	-0.18421	10.23154	0.01274	0.02180	0.01231
0.95499	-0.04605	10.03222	0.01882	0.01775	0.01696
1.09648	0.09210	9.83291	0.01477	0.01947	0.01590
1.25892	0.23026	9.63359	0.02045	0.01098	0.01544
1.44544	0.36841	9.43428	0.01632	0.01632	0.01130
1.65959	0.50657	9.23496	0.01842	0.01783	0.01498
1.90546	0.64472	9.03564	0.01566	0.01350	0.02041
2.18776	0.78288	8.83633	0.01977	0.02203	0.01765
2.51189	0.92103	8.63701	0.04450	0.01591	0.01444
2.88403	1.05919	8.43770	0.14695	0.01148	0.00504
3.31131	1.19734	8.23838	0.36949	0.00393	0.00675
3.80189	1.33550	8.03907	0.77058	0.00557	0.01594
4.36516	1.47365	7.83975	1.50010	0.01364	0.01790
5.01187	1.61181	7.64043	2.67820	0.02553	0.02280
5.75440	1.74996	7.44112	4.33759	0.03838	0.03973
6.60693	1.88812	7.24180	6.38811	0.06309	0.05774
7.58578	2.02627	7.04249	8.57142	0.08124	0.07088
8.70964	2.16443	6.84317	10.46044	0.11336	0.09477
10.00000	2.30259	6.64386	11.63090	0.16328	0.09392
11.48154	2.44074	6.44454	11.77577	0.23964	0.09604
13.18257	2.57890	6.24522	10.84016	0.41866	0.09901
15.13561	2.71705	6.04591	9.11479	0.76803	0.09813
17.37801	2.85521	5.84659	6.96059	1.41806	0.10236
19.95262	2.99336	5.64728	4.86782	2.48529	0.11256
22.90868	3.13152	5.44796	3.11322	4.04400	0.17025
26.30268	3.26967	5.24865	1.82279	6.03016	0.26766
30.19952	3.40783	5.04933	1.01666	8.20698	0.45234
34.67369	3.54598	4.85002	0.55944	10.17637	0.78047
39.81072	3.68414	4.65070	0.33041	11.50678	1.31490
45.70882	3.82229	4.45138	0.22695	11.84386	2.20139
52.48075	3.96045	4.25207	0.18191	11.11047	3.51612
60.25596	4.09860	4.05275	0.17072	9.50887	5.25470
69.18310	4.23676	3.85344	0.17398	7.40612	7.30016
79.43282	4.37491	3.65412	0.16739	5.28933	9.34077
91.20108	4.51307	3.45481	0.16149	3.45097	10.92879
104.71286	4.65122	3.25549	0.15956	2.08368	11.67966
120.22644	4.78938	3.05617	0.13466	1.17695	11.38765
138.03843	4.92753	2.85686	0.11859	0.61443	10.12322
158.48932	5.06569	2.65754	0.09627	0.31715	8.18741
181.97009	5.20384	2.45823	0.06865	0.15573	6.03868
208.92961	5.34200	2.25891	0.04838	0.08291	4.05140
239.88329	5.48015	2.05960	0.03109	0.03436	2.48259
275.42287	5.61831	1.86028	0.01551	0.02650	1.37492
316.22777	5.75646	1.66096	0.01251	0.01511	0.69560
363.07806	5.89462	1.46165	0.00377	0.01680	0.32034
416.86938	6.03277	1.26233	0.01730	0.00437	0.12411
478.63009	6.17093	1.06302	0.01691	0.00900	0.05325
549.54087	6.30908	0.86370	0.01464	0.01726	0.02197
630.95734	6.44724	0.66439	0.01421	0.01009	0.01979
724.43596	6.58539	0.46507	0.00875	0.01412	0.01911
831.76377	6.72355	0.26575	0.00968	0.01994	0.01745
954.99259	6.86170	0.06644	0.01627	0.01647	0.01507
1096.47820	6.99986	-0.13288	0.01627	0.01397	0.01628
1258.92541	7.13801	-0.33219	0.01979	0.01355	0.01548
1445.43977	7.27617	-0.53151	0.01216	0.01954	0.01417
1659.58691	7.41432	-0.73082	0.01322	0.01748	0.02275
1905.46072	7.55248	-0.93014	0.00939	0.02137	0.01538
2187.76162	7.69063	-1.12946	0.01946	0.01530	0.01555
2511.88643	7.82879	-1.32877	0.01283	0.01978	0.00893
2884.03150	7.96694	-1.52809	0.02015	0.01376	0.01645
3311.31121	8.10510	-1.72740	0.01189	0.02068	0.01683
3801.89396	8.24325	-1.92672	0.01280	0.01829	0.01466
4365.15832	8.38141	-2.12603	0.01077	0.01712	0.01821
5011.87234	8.51956	-2.32535	0.01484	0.01287	0.02208
5754.39938	8.65772	-2.52467	0.01550	0.01834	0.01710
6606.93448	8.79588	-2.72398	0.01137	0.01473	0.01637
7585.77575	8.93403	-2.92330	0.01180	0.01924	0.01722
8709.63590	9.07219	-3.12261	0.01698	0.01742	0.01281
